brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
5,1,2,1,8,1,512,0,2,64,0,0,2,1,1,64990,3,48,12
5,1,2,0,8,1,512,0,2,64,4,0,0,0,1,66490,3,282,36
3,1,2,1,16,1,512,0,2,64,2,0,0,0,1,89702,2,0,0
5,1,2,1,16,1,512,0,2,64,2,0,0,0,1,70990,3,67,4
1,1,2,1,16,1,512,0,2,64,0,0,0,1,1,58990,2,0,0
5,1,2,0,8,1,512,0,2,64,2,0,0,0,1,57500,2,0,0
3,1,2,1,8,1,512,0,2,64,2,0,0,1,1,79990,3,23,2
6,1,2,0,8,1,512,0,2,64,0,0,3,0,0,56541,3,677,87
1,1,2,1,16,1,512,0,2,64,0,2,3,0,0,59990,2,3,0
5,1,2,1,16,1,512,0,2,64,0,0,0,0,1,64990,3,46,4
3,1,2,1,8,1,512,0,2,64,0,2,0,0,0,61290,2,4,1
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,54990,3,9,1
5,1,2,1,8,1,512,0,2,64,0,0,0,0,1,59990,3,26,4
1,1,2,1,8,1,512,0,2,32,6,0,0,0,0,84990,4,5,0
4,1,2,1,8,1,512,0,2,64,0,2,0,0,1,72500,3,40,3
5,1,2,1,8,1,512,0,2,64,4,1,3,0,0,59990,2,44,6
5,1,2,1,8,1,512,0,2,64,0,0,0,1,1,87990,3,28,6
4,1,2,1,8,1,512,0,2,64,0,2,3,0,0,57990,3,1541,123
3,1,2,1,8,1,512,0,2,64,0,2,0,0,1,69490,3,72,7
5,1,2,1,8,1,512,0,2,64,0,0,2,1,1,68990,3,44,8
5,1,2,1,8,1,512,0,2,32,0,0,0,0,1,77990,3,17,2
1,1,2,1,8,5,512,0,2,64,0,0,0,1,0,105990,3,59,11
6,1,2,1,8,5,512,0,2,64,0,0,0,0,0,79990,2,0,0
3,1,2,1,8,1,512,0,2,64,0,2,0,0,1,55490,3,337,27
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,69990,3,10,2
1,1,2,1,8,1,512,0,2,64,0,0,0,1,1,84990,3,10,2
3,1,2,1,8,1,512,0,2,64,0,2,3,0,0,59990,2,31,7
3,1,2,0,8,5,512,0,2,64,0,2,0,0,1,111890,2,0,0
3,1,2,1,8,1,512,0,2,64,2,0,0,0,0,65990,3,10,0
1,1,2,1,8,5,512,0,2,32,0,0,0,0,1,72990,3,76,14
3,1,2,1,8,1,512,0,2,64,0,2,0,0,1,71090,3,44,6
6,1,2,1,8,1,512,0,2,64,4,0,1,0,0,74990,2,0,0
1,1,2,0,8,3,512,0,2,64,0,0,0,0,1,79990,3,11,3
6,1,2,1,8,1,512,0,2,64,0,0,0,0,0,55490,3,138,16
3,1,2,1,8,1,512,0,2,64,2,2,0,0,1,66490,3,199,17
1,1,2,1,8,1,512,0,2,64,0,0,0,0,1,53400,3,46,6
3,1,2,1,8,1,512,0,2,64,0,0,0,1,1,74500,3,45,5
3,1,2,1,8,5,512,0,2,64,0,2,0,0,1,114990,2,0,0
3,1,2,1,8,1,512,0,2,64,2,2,3,0,0,61990,3,35,4
0,1,2,0,8,5,512,0,1,64,0,0,0,0,0,159990,3,32,5
0,1,2,5,8,0,512,0,1,64,0,0,0,0,0,172090,3,108,13
6,1,2,1,8,1,512,0,2,64,4,0,3,0,0,74990,2,0,0
6,1,2,0,8,1,512,0,2,64,0,0,0,0,0,56490,3,814,112
5,1,2,0,8,1,512,0,2,64,0,2,2,0,0,147000,2,0,0
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,55990,3,75,9
4,1,2,1,8,1,512,0,2,64,4,1,0,0,1,77990,2,0,0
4,1,2,0,8,1,512,0,2,64,4,0,0,0,1,106490,3,3,0
5,1,2,1,8,1,512,0,2,32,2,0,0,0,1,70990,3,11,3
5,1,2,1,8,1,512,0,2,64,0,0,0,0,1,64990,3,125,11
7,1,2,1,8,1,512,0,2,64,0,0,0,0,0,57990,2,0,0
1,1,2,0,8,1,512,0,2,64,4,1,0,0,0,64990,3,4,0
6,1,2,0,8,1,512,0,2,64,0,0,0,0,0,54990,3,714,147
4,1,2,1,8,5,512,0,2,64,0,0,3,1,0,111999,2,0,0
5,1,2,0,8,5,512,0,2,64,2,0,0,0,1,70798,3,21,3
5,1,2,6,8,1,512,0,2,64,4,0,3,0,0,59990,2,9,1
7,1,2,5,8,1,512,0,2,64,4,0,0,0,0,99500,2,0,0
4,1,2,0,8,1,512,0,2,64,0,2,0,0,1,55990,3,30,4
1,1,2,5,8,3,512,0,2,64,0,2,0,0,0,72990,3,44,4
7,1,2,5,8,0,512,0,2,64,0,2,0,0,0,64990,2,4,1
1,1,2,1,8,1,512,0,2,64,0,2,3,0,0,57990,2,0,0
4,1,2,1,8,1,512,0,2,64,2,0,0,1,1,76990,3,14,2
5,1,2,1,8,1,512,0,2,64,0,0,1,0,1,62998,3,739,71
3,1,2,1,8,1,512,0,2,64,0,0,0,1,1,77990,3,31,5
4,1,2,0,8,1,512,0,2,64,0,0,0,1,1,114990,3,145,19
3,1,2,0,8,1,512,0,2,64,2,0,0,0,1,65990,2,0,0
3,1,2,1,8,1,512,0,2,64,2,0,0,0,1,88990,2,19,2
5,1,2,0,8,1,512,0,2,64,0,0,3,0,0,113590,2,0,0
1,1,2,1,8,5,512,0,2,64,0,0,0,1,1,73990,3,32,6
4,1,2,1,8,1,512,0,2,64,0,2,0,0,1,61000,3,1124,100
1,1,2,1,8,5,512,0,2,64,0,0,0,1,0,99990,3,35,6
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,67990,3,9,0
